dataset,distance_function,k_value,accuracy,precision,sensitivity,specificity,false_positive_rate,f1
bc,euclidean,1,0.9380530973451328,0.925,0.9024390243902439,0.9583333333333334,0.041666666666666664,0.9135802469135802
bc,euclidean,3,0.9292035398230089,0.9230769230769231,0.8780487804878049,0.9583333333333334,0.041666666666666664,0.9
bc,euclidean,5,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,euclidean,7,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,euclidean,9,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,euclidean,11,0.9469026548672567,0.972972972972973,0.8780487804878049,0.9861111111111112,0.013888888888888888,0.923076923076923
bc,euclidean,13,0.9203539823008849,0.9444444444444444,0.8292682926829268,0.9722222222222222,0.027777777777777776,0.883116883116883
bc,euclidean,15,0.9380530973451328,0.9722222222222222,0.8536585365853658,0.9861111111111112,0.013888888888888888,0.9090909090909091
bc,manhattan,1,0.9380530973451328,0.925,0.9024390243902439,0.9583333333333334,0.041666666666666664,0.9135802469135802
bc,manhattan,3,0.9469026548672567,0.972972972972973,0.8780487804878049,0.9861111111111112,0.013888888888888888,0.923076923076923
bc,manhattan,5,0.9557522123893806,1.0,0.8780487804878049,1.0,0.0,0.9350649350649352
bc,manhattan,7,0.9469026548672567,0.972972972972973,0.8780487804878049,0.9861111111111112,0.013888888888888888,0.923076923076923
bc,manhattan,9,0.9380530973451328,0.9722222222222222,0.8536585365853658,0.9861111111111112,0.013888888888888888,0.9090909090909091
bc,manhattan,11,0.9292035398230089,0.9714285714285714,0.8292682926829268,0.9861111111111112,0.013888888888888888,0.8947368421052632
bc,manhattan,13,0.9292035398230089,0.9714285714285714,0.8292682926829268,0.9861111111111112,0.013888888888888888,0.8947368421052632
bc,manhattan,15,0.9380530973451328,0.9722222222222222,0.8536585365853658,0.9861111111111112,0.013888888888888888,0.9090909090909091
bc,minkowski,1,0.9292035398230089,0.9230769230769231,0.8780487804878049,0.9583333333333334,0.041666666666666664,0.9
bc,minkowski,3,0.9292035398230089,0.9230769230769231,0.8780487804878049,0.9583333333333334,0.041666666666666664,0.9
bc,minkowski,5,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,minkowski,7,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,minkowski,9,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,minkowski,11,0.9380530973451328,0.9473684210526315,0.8780487804878049,0.9722222222222222,0.027777777777777776,0.9113924050632912
bc,minkowski,13,0.9292035398230089,0.9459459459459459,0.8536585365853658,0.9722222222222222,0.027777777777777776,0.8974358974358975
bc,minkowski,15,0.9380530973451328,0.9722222222222222,0.8536585365853658,0.9861111111111112,0.013888888888888888,0.9090909090909091
hp,euclidean,1,0.8125,0.6666666666666666,0.5,0.9166666666666666,0.08333333333333333,0.5714285714285715
