dataset,distance_function,k_value,accuracy,precision,sensitivity,specificity,false_positive_rate,f1
bc,euclidean,1,1.0,1.0,1.0,1.0,0.0,1.0
bc,euclidean,3,0.9495614035087719,0.9567901234567902,0.9064327485380117,0.9754385964912281,0.02456140350877193,0.9309309309309309
bc,euclidean,5,0.9451754385964912,0.9451219512195121,0.9064327485380117,0.968421052631579,0.031578947368421054,0.9253731343283581
bc,euclidean,7,0.9407894736842105,0.9337349397590361,0.9064327485380117,0.9614035087719298,0.03859649122807018,0.9198813056379821
bc,euclidean,9,0.9407894736842105,0.9390243902439024,0.9005847953216374,0.9649122807017544,0.03508771929824561,0.9194029850746269
bc,euclidean,11,0.9385964912280702,0.9386503067484663,0.8947368421052632,0.9649122807017544,0.03508771929824561,0.9161676646706587
bc,euclidean,13,0.9385964912280702,0.949685534591195,0.8830409356725146,0.9719298245614035,0.028070175438596492,0.9151515151515152
bc,euclidean,15,0.9364035087719298,0.94375,0.8830409356725146,0.968421052631579,0.031578947368421054,0.9123867069486404
bc,manhattan,1,1.0,1.0,1.0,1.0,0.0,1.0
bc,manhattan,3,0.9517543859649122,0.9627329192546584,0.9064327485380117,0.9789473684210527,0.021052631578947368,0.9337349397590361
bc,manhattan,5,0.9451754385964912,0.9451219512195121,0.9064327485380117,0.968421052631579,0.031578947368421054,0.9253731343283581
bc,manhattan,7,0.9451754385964912,0.9451219512195121,0.9064327485380117,0.968421052631579,0.031578947368421054,0.9253731343283581
bc,manhattan,9,0.9517543859649122,0.9570552147239264,0.9122807017543859,0.9754385964912281,0.02456140350877193,0.934131736526946
bc,manhattan,11,0.9407894736842105,0.9444444444444444,0.8947368421052632,0.968421052631579,0.031578947368421054,0.918918918918919
bc,manhattan,13,0.9385964912280702,0.949685534591195,0.8830409356725146,0.9719298245614035,0.028070175438596492,0.9151515151515152
bc,manhattan,15,0.9364035087719298,0.9493670886075949,0.8771929824561403,0.9719298245614035,0.028070175438596492,0.911854103343465
bc,minkowski,1,1.0,1.0,1.0,1.0,0.0,1.0
bc,minkowski,3,0.9495614035087719,0.9567901234567902,0.9064327485380117,0.9754385964912281,0.02456140350877193,0.9309309309309309
bc,minkowski,5,0.9451754385964912,0.9397590361445783,0.9122807017543859,0.9649122807017544,0.03508771929824561,0.9258160237388725
bc,minkowski,7,0.9407894736842105,0.9337349397590361,0.9064327485380117,0.9614035087719298,0.03859649122807018,0.9198813056379821
bc,minkowski,9,0.9407894736842105,0.9337349397590361,0.9064327485380117,0.9614035087719298,0.03859649122807018,0.9198813056379821
bc,minkowski,11,0.9364035087719298,0.9382716049382716,0.8888888888888888,0.9649122807017544,0.03508771929824561,0.9129129129129129
bc,minkowski,13,0.9385964912280702,0.9440993788819876,0.8888888888888888,0.968421052631579,0.031578947368421054,0.9156626506024096
bc,minkowski,15,0.9385964912280702,0.949685534591195,0.8830409356725146,0.9719298245614035,0.028070175438596492,0.9151515151515152
hp,euclidean,1,1.0,1.0,1.0,1.0,0.0,1.0
hp,euclidean,3,0.921875,0.75,0.6666666666666666,0.9636363636363636,0.03636363636363636,0.7058823529411765
hp,euclidean,5,0.875,1.0,0.1111111111111111,1.0,0.0,0.19999999999999998
hp,euclidean,7,0.859375,0.0,0.0,1.0,0.0,0.0
hp,euclidean,9,0.859375,0.0,0.0,1.0,0.0,0.0
hp,euclidean,11,0.859375,0.0,0.0,1.0,0.0,0.0
hp,euclidean,13,0.859375,0.0,0.0,1.0,0.0,0.0
hp,euclidean,15,0.859375,0.0,0.0,1.0,0.0,0.0
hp,manhattan,1,1.0,1.0,1.0,1.0,0.0,1.0
hp,manhattan,3,0.9375,0.8571428571428571,0.6666666666666666,0.9818181818181818,0.01818181818181818,0.75
hp,manhattan,5,0.875,1.0,0.1111111111111111,1.0,0.0,0.19999999999999998
hp,manhattan,7,0.859375,0.0,0.0,1.0,0.0,0.0
hp,manhattan,9,0.859375,0.0,0.0,1.0,0.0,0.0
hp,manhattan,11,0.859375,0.0,0.0,1.0,0.0,0.0
hp,manhattan,13,0.859375,0.0,0.0,1.0,0.0,0.0
hp,manhattan,15,0.859375,0.0,0.0,1.0,0.0,0.0
hp,minkowski,1,1.0,1.0,1.0,1.0,0.0,1.0
hp,minkowski,3,0.921875,0.75,0.6666666666666666,0.9636363636363636,0.03636363636363636,0.7058823529411765
hp,minkowski,5,0.859375,0.5,0.1111111111111111,0.9818181818181818,0.01818181818181818,0.1818181818181818
hp,minkowski,7,0.859375,0.0,0.0,1.0,0.0,0.0
hp,minkowski,9,0.859375,0.0,0.0,1.0,0.0,0.0
hp,minkowski,11,0.859375,0.0,0.0,1.0,0.0,0.0
hp,minkowski,13,0.859375,0.0,0.0,1.0,0.0,0.0
hp,minkowski,15,0.859375,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,1,1.0,1.0,1.0,1.0,0.0,1.0
hp_imp,euclidean,3,0.8306451612903226,0.6923076923076923,0.34615384615384615,0.9591836734693877,0.04081632653061224,0.46153846153846156
hp_imp,euclidean,5,0.7741935483870968,0.3333333333333333,0.07692307692307693,0.9591836734693877,0.04081632653061224,0.125
hp_imp,euclidean,7,0.7903225806451613,0.5,0.038461538461538464,0.9897959183673469,0.01020408163265306,0.07142857142857144
hp_imp,euclidean,9,0.782258064516129,0.0,0.0,0.9897959183673469,0.01020408163265306,0.0
hp_imp,euclidean,11,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,13,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,15,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,1,1.0,1.0,1.0,1.0,0.0,1.0
hp_imp,manhattan,3,0.8790322580645161,0.8235294117647058,0.5384615384615384,0.9693877551020408,0.030612244897959183,0.6511627906976744
hp_imp,manhattan,5,0.8225806451612904,0.8333333333333334,0.19230769230769232,0.9897959183673469,0.01020408163265306,0.3125
hp_imp,manhattan,7,0.8145161290322581,1.0,0.11538461538461539,1.0,0.0,0.20689655172413793
hp_imp,manhattan,9,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,11,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,13,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,15,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,minkowski,1,1.0,1.0,1.0,1.0,0.0,1.0
hp_imp,minkowski,3,0.8145161290322581,0.6,0.34615384615384615,0.9387755102040817,0.061224489795918366,0.43902439024390244
hp_imp,minkowski,5,0.782258064516129,0.42857142857142855,0.11538461538461539,0.9591836734693877,0.04081632653061224,0.18181818181818182
hp_imp,minkowski,7,0.782258064516129,0.3333333333333333,0.038461538461538464,0.9795918367346939,0.02040816326530612,0.06896551724137931
hp_imp,minkowski,9,0.782258064516129,0.0,0.0,0.9897959183673469,0.01020408163265306,0.0
hp_imp,minkowski,11,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,minkowski,13,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
hp_imp,minkowski,15,0.7903225806451613,0.0,0.0,1.0,0.0,0.0
